  score1=35, score2=2, dur=950.3, team1=thoma904, team2=bruno752, winner=thoma904, mtype=rescue_r2, mhash_short=[PALE-TOAD], mhash_lshort=C-PALE-TOAD, mhash=mhash=250512-2020C-PALE-TOAD,utc=1747095634.06
  score1=33, score2=20, dur=950.1, team1=jcizu690, team2=chthigpen, winner=jcizu690, mtype=rescue_r2, mhash_short=[PRIM-EGGS], mhash_lshort=H-PRIM-EGGS, mhash=mhash=250512-2021H-PRIM-EGGS,utc=1747095697.00
  score1=36, score2=9, dur=950.2, team1=thoma904, team2=ews2011, winner=thoma904, mtype=rescue_r2, mhash_short=[GLIB-THOR], mhash_lshort=B-GLIB-THOR, mhash=mhash=250512-2022B-GLIB-THOR,utc=1747095759.93
  score1=29, score2=25, dur=599.7, team1=cschnorr, team2=ews2011, winner=cschnorr, mtype=rescue_r2, mhash_short=[TAME-PROM], mhash_lshort=R-TAME-PROM, mhash=mhash=250512-2023R-TAME-PROM,utc=1747095822.91
  score1=28, score2=25, dur=710.1, team1=cschnorr, team2=jwenger, winner=cschnorr, mtype=rescue_r2, mhash_short=[CUTE-JAKE], mhash_lshort=L-CUTE-JAKE, mhash=mhash=250512-2024L-CUTE-JAKE,utc=1747095868.30
  score1=26, score2=22, dur=453.9, team1=bertucci, team2=chthigpen, winner=bertucci, mtype=rescue_r2, mhash_short=[PRIM-FUND], mhash_lshort=A-PRIM-FUND, mhash=mhash=250512-2025A-PRIM-FUND,utc=1747095919.25
  score1=8, score2=6, dur=950.1, team1=jwenger, team2=cdembski, winner=jwenger, mtype=rescue_r2, mhash_short=[FAST-SORT], mhash_lshort=E-FAST-SORT, mhash=mhash=250512-2025E-FAST-SORT,utc=1747095957.43
  score1=6, score2=6, dur=950.1, team1=thoma904, team2=jwenger, winner=thoma904, mtype=rescue_r2, mhash_short=[GOOD-DAYS], mhash_lshort=G-GOOD-DAYS, mhash=mhash=250512-2027G-GOOD-DAYS,utc=1747096020.41
  score1=32, score2=24, dur=950.3, team1=chthigpen, team2=jwenger, winner=chthigpen, mtype=rescue_r2, mhash_short=[FULL-MATT], mhash_lshort=H-FULL-MATT, mhash=mhash=250512-2028H-FULL-MATT,utc=1747096083.43
  score1=25, score2=22, dur=476.2, team1=chthigpen, team2=adamc710, winner=chthigpen, mtype=rescue_r2, mhash_short=[NICE-ALEX], mhash_lshort=D-NICE-ALEX, mhash=mhash=250512-2029D-NICE-ALEX,utc=1747096146.48
  score1=28, score2=22, dur=540.3, team1=cschnorr, team2=chthigpen, winner=cschnorr, mtype=rescue_r2, mhash_short=[DAMP-RITZ], mhash_lshort=Y-DAMP-RITZ, mhash=mhash=250512-2029Y-DAMP-RITZ,utc=1747096185.85
  score1=35, score2=19, dur=950.3, team1=thoma904, team2=jcizu690, winner=thoma904, mtype=rescue_r2, mhash_short=[GRIM-FOAL], mhash_lshort=Z-GRIM-FOAL, mhash=mhash=250512-2030Z-GRIM-FOAL,utc=1747096228.38
  score1=38, score2=6, dur=950.2, team1=thoma904, team2=cschnorr, winner=thoma904, mtype=rescue_r2, mhash_short=[LEWD-SLUG], mhash_lshort=D-LEWD-SLUG, mhash=mhash=250512-2031D-LEWD-SLUG,utc=1747096291.39
  score1=31, score2=24, dur=950.2, team1=thoma904, team2=jcizu690, winner=thoma904, mtype=rescue_r2, mhash_short=[RICH-TEAL], mhash_lshort=X-RICH-TEAL, mhash=mhash=250512-2032X-RICH-TEAL,utc=1747096354.43
  score1=51, score2=3, dur=950.2, team1=bruno752, team2=jwenger, winner=bruno752, mtype=rescue_r2, mhash_short=[GLAD-USER], mhash_lshort=U-GLAD-USER, mhash=mhash=250512-2033U-GLAD-USER,utc=1747096417.46
  score1=35, score2=19, dur=535.8, team1=jwenger, team2=adamc710, winner=jwenger, mtype=rescue_r2, mhash_short=[FOXY-KIRK], mhash_lshort=V-FOXY-KIRK, mhash=mhash=250512-2034V-FOXY-KIRK,utc=1747096480.46
  score1=31, score2=11, dur=950.2, team1=jwenger, team2=bertucci, winner=jwenger, mtype=rescue_r2, mhash_short=[HALS-SKIN], mhash_lshort=U-HALS-SKIN, mhash=mhash=250512-2035U-HALS-SKIN,utc=1747096522.75
  score1=29, score2=25, dur=950.1, team1=jwenger, team2=ews2011, winner=jwenger, mtype=rescue_r2, mhash_short=[MISC-ELBY], mhash_lshort=S-MISC-ELBY, mhash=mhash=250512-2036S-MISC-ELBY,utc=1747096585.75
  score1=29, score2=24, dur=396.9, team1=bertucci, team2=chthigpen, winner=bertucci, mtype=rescue_r2, mhash_short=[TIDY-MYLO], mhash_lshort=I-TIDY-MYLO, mhash=mhash=250512-2037I-TIDY-MYLO,utc=1747096648.73
  score1=27, score2=25, dur=455.6, team1=bertucci, team2=cschnorr, winner=bertucci, mtype=rescue_r2, mhash_short=[BASS-CODY], mhash_lshort=D-BASS-CODY, mhash=mhash=250512-2038D-BASS-CODY,utc=1747096684.13
  score1=36, score2=17, dur=551.6, team1=jcizu690, team2=ews2011, winner=jcizu690, mtype=rescue_r2, mhash_short=[REAR-RIBS], mhash_lshort=Y-REAR-RIBS, mhash=mhash=250512-2038Y-REAR-RIBS,utc=1747096722.40
  score1=30, score2=24, dur=649.9, team1=cschnorr, team2=bertucci, winner=cschnorr, mtype=rescue_r2, mhash_short=[DRAB-MALL], mhash_lshort=W-DRAB-MALL, mhash=mhash=250512-2039W-DRAB-MALL,utc=1747096765.45
  score1=35, score2=14, dur=950.2, team1=thoma904, team2=bertucci, winner=thoma904, mtype=rescue_r2, mhash_short=[BONY-BUTT], mhash_lshort=X-BONY-BUTT, mhash=mhash=250512-2040X-BONY-BUTT,utc=1747096813.49
  score1=29, score2=28, dur=468.6, team1=cschnorr, team2=bertucci, winner=cschnorr, mtype=rescue_r2, mhash_short=[SOLE-MOOS], mhash_lshort=U-SOLE-MOOS, mhash=mhash=250512-2041U-SOLE-MOOS,utc=1747096876.52
  score1=30, score2=25, dur=480.1, team1=jcizu690, team2=cschnorr, winner=jcizu690, mtype=rescue_r2, mhash_short=[GOOD-TEXT], mhash_lshort=P-GOOD-TEXT, mhash=mhash=250512-2041P-GOOD-TEXT,utc=1747096915.40
  score1=35, score2=13, dur=631.1, team1=bruno752, team2=bertucci, winner=bruno752, mtype=rescue_r2, mhash_short=[BOBS-HOAX], mhash_lshort=J-BOBS-HOAX, mhash=mhash=250512-2042J-BOBS-HOAX,utc=1747096954.85
  score1=30, score2=26, dur=588.4, team1=jwenger, team2=bertucci, winner=jwenger, mtype=rescue_r2, mhash_short=[SAFE-EROS], mhash_lshort=Y-SAFE-EROS, mhash=mhash=250512-2043Y-SAFE-EROS,utc=1747097001.82
  score1=24, score2=2, dur=950.3, team1=thoma904, team2=bruno752, winner=thoma904, mtype=rescue_r2, mhash_short=[NUDE-SIDE], mhash_lshort=C-NUDE-SIDE, mhash=mhash=250512-2044C-NUDE-SIDE,utc=1747097046.67
  score1=28, score2=26, dur=528.7, team1=cschnorr, team2=bertucci, winner=cschnorr, mtype=rescue_r2, mhash_short=[VAIN-DAVE], mhash_lshort=J-VAIN-DAVE, mhash=mhash=250512-2045J-VAIN-DAVE,utc=1747097109.60
  score1=31, score2=17, dur=457, team1=jwenger, team2=chthigpen, winner=jwenger, mtype=rescue_r2, mhash_short=[HUGE-TAFT], mhash_lshort=T-HUGE-TAFT, mhash=mhash=250512-2045T-HUGE-TAFT,utc=1747097151.57
  score1=32, score2=22, dur=628.8, team1=cschnorr, team2=chthigpen, winner=cschnorr, mtype=rescue_r2, mhash_short=[PALE-JOYS], mhash_lshort=Y-PALE-JOYS, mhash=mhash=250512-2046Y-PALE-JOYS,utc=1747097189.91
