score1=36, score2=21, dur=627.5, team1=jcizu690, team2=omg, winner=jcizu690, mtype=rescue_r2, mhash_short=[GREY-TYPE], mhash_lshort=Y-GREY-TYPE, mhash=mhash=250511-2242Y-GREY-TYPE,utc=1747017767.91
  score1=26, score2=26, dur=640.3, team1=bertucci, team2=wpirates, winner=bertucci, mtype=rescue_r2, mhash_short=[GRIM-MINI], mhash_lshort=K-GRIM-MINI, mhash=mhash=250511-2243K-GRIM-MINI,utc=1747017814.67
  score1=40, score2=11, dur=950.2, team1=mineswp, team2=ericadam, winner=mineswp, mtype=rescue_r2, mhash_short=[NEAR-PARK], mhash_lshort=E-NEAR-PARK, mhash=mhash=250511-2244E-NEAR-PARK,utc=1747017862.04
  score1=38, score2=8, dur=524, team1=jjdrift, team2=ericadam, winner=jjdrift, mtype=rescue_r2, mhash_short=[OOZY-MARS], mhash_lshort=V-OOZY-MARS, mhash=mhash=250511-2245V-OOZY-MARS,utc=1747017924.98
  score1=23, score2=1, dur=950.2, team1=bruno752, team2=chthigpen, winner=bruno752, mtype=rescue_r2, mhash_short=[WARY-FOAL], mhash_lshort=E-WARY-FOAL, mhash=mhash=250511-2246E-WARY-FOAL,utc=1747017966.54
  score1=26, score2=22, dur=335.6, team1=ericadam, team2=jcizu690, winner=ericadam, mtype=rescue_r2, mhash_short=[VICE-HASH], mhash_lshort=F-VICE-HASH, mhash=mhash=250511-2247F-VICE-HASH,utc=1747018029.48
  score1=37, score2=14, dur=666.1, team1=wpirates, team2=ericadam, winner=wpirates, mtype=rescue_r2, mhash_short=[GLUM-TOSH], mhash_lshort=N-GLUM-TOSH, mhash=mhash=250511-2247N-GLUM-TOSH,utc=1747018061.66
  score1=27, score2=22, dur=673.5, team1=ews2011, team2=ericadam, winner=ews2011, mtype=rescue_r2, mhash_short=[FAIR-LUIS], mhash_lshort=L-FAIR-LUIS, mhash=mhash=250511-2248L-FAIR-LUIS,utc=1747018110.40
  score1=29, score2=25, dur=504.9, team1=omg, team2=jcizu690, winner=omg, mtype=rescue_r2, mhash_short=[FOND-EDGE], mhash_lshort=J-FOND-EDGE, mhash=mhash=250511-2249J-FOND-EDGE,utc=1747018159.47
  score1=22, score2=19, dur=302.1, team1=ericadam, team2=bertucci, winner=ericadam, mtype=rescue_r2, mhash_short=[HALS-RORY], mhash_lshort=B-HALS-RORY, mhash=mhash=250511-2250B-HALS-RORY,utc=1747018200.14
  score1=43, score2=15, dur=950.2, team1=mineswp, team2=jcizu690, winner=mineswp, mtype=rescue_r2, mhash_short=[GRIM-EARL], mhash_lshort=N-GRIM-EARL, mhash=mhash=250511-2250N-GRIM-EARL,utc=1747018230.64
  score1=44, score2=3, dur=950.1, team1=bruno752, team2=jjdrift, winner=bruno752, mtype=rescue_r2, mhash_short=[OKAY-REID], mhash_lshort=Y-OKAY-REID, mhash=mhash=250511-2251Y-OKAY-REID,utc=1747018293.69
  score1=36, score2=17, dur=950.3, team1=mineswp, team2=bertucci, winner=mineswp, mtype=rescue_r2, mhash_short=[NEAR-RUDY], mhash_lshort=G-NEAR-RUDY, mhash=mhash=250511-2252G-NEAR-RUDY,utc=1747018356.70
  score1=35, score2=22, dur=950.1, team1=wpirates, team2=chthigpen, winner=wpirates, mtype=rescue_r2, mhash_short=[FAIR-KANE], mhash_lshort=T-FAIR-KANE, mhash=mhash=250511-2253T-FAIR-KANE,utc=1747018419.84
  score1=24, score2=23, dur=402.1, team1=omg, team2=chthigpen, winner=omg, mtype=rescue_r2, mhash_short=[BOLD-NERO], mhash_lshort=J-BOLD-NERO, mhash=mhash=250511-2254J-BOLD-NERO,utc=1747018482.85
  score1=41, score2=6, dur=950.2, team1=mineswp, team2=ews2011, winner=mineswp, mtype=rescue_r2, mhash_short=[CAGY-BURL], mhash_lshort=C-CAGY-BURL, mhash=mhash=250511-2255C-CAGY-BURL,utc=1747018518.54
  score1=50, score2=1, dur=950.1, team1=bruno752, team2=ews2011, winner=bruno752, mtype=rescue_r2, mhash_short=[CURT-QUIL], mhash_lshort=A-CURT-QUIL, mhash=mhash=250511-2256A-CURT-QUIL,utc=1747018581.62
  score1=46, score2=3, dur=950.3, team1=mineswp, team2=ews2011, winner=mineswp, mtype=rescue_r2, mhash_short=[COZY-PUFF], mhash_lshort=U-COZY-PUFF, mhash=mhash=250511-2257U-COZY-PUFF,utc=1747018644.68
  score1=31, score2=4, dur=950.1, team1=mineswp, team2=bruno752, winner=mineswp, mtype=rescue_r2, mhash_short=[SURE-RUGS], mhash_lshort=F-SURE-RUGS, mhash=mhash=250511-2258F-SURE-RUGS,utc=1747018707.83
  score1=34, score2=26, dur=666.7, team1=omg, team2=jcizu690, winner=omg, mtype=rescue_r2, mhash_short=[KIND-NEWS], mhash_lshort=V-KIND-NEWS, mhash=mhash=250511-2259V-KIND-NEWS,utc=1747018770.88
  score1=49, score2=4, dur=950.2, team1=bruno752, team2=ericadam, winner=bruno752, mtype=rescue_r2, mhash_short=[LIMP-BING], mhash_lshort=T-LIMP-BING, mhash=mhash=250511-2300T-LIMP-BING,utc=1747018819.84
  score1=28, score2=25, dur=546.1, team1=bertucci, team2=ews2011, winner=bertucci, mtype=rescue_r2, mhash_short=[BUSY-SNAG], mhash_lshort=I-BUSY-SNAG, mhash=mhash=250511-2301I-BUSY-SNAG,utc=1747018882.96
  score1=27, score2=26, dur=613.9, team1=bertucci, team2=omg, winner=bertucci, mtype=rescue_r2, mhash_short=[GREY-FACE], mhash_lshort=G-GREY-FACE, mhash=mhash=250511-2302G-GREY-FACE,utc=1747018925.82
  score1=28, score2=24, dur=519.6, team1=wpirates, team2=ews2011, winner=wpirates, mtype=rescue_r2, mhash_short=[MEAN-SIDE], mhash_lshort=W-MEAN-SIDE, mhash=mhash=250511-2302W-MEAN-SIDE,utc=1747018972.09
  score1=37, score2=7, dur=950.3, team1=jjdrift, team2=ews2011, winner=jjdrift, mtype=rescue_r2, mhash_short=[BONY-LOOP], mhash_lshort=R-BONY-LOOP, mhash=mhash=250511-2303R-BONY-LOOP,utc=1747019013.64
  score1=25, score2=19, dur=349.3, team1=jcizu690, team2=wpirates, winner=jcizu690, mtype=rescue_r2, mhash_short=[CUTE-DIME], mhash_lshort=A-CUTE-DIME, mhash=mhash=250511-2304A-CUTE-DIME,utc=1747019076.74
  score1=50, score2=4, dur=950.3, team1=bruno752, team2=wpirates, winner=bruno752, mtype=rescue_r2, mhash_short=[SICK-TUNA], mhash_lshort=J-SICK-TUNA, mhash=mhash=250511-2305J-SICK-TUNA,utc=1747019109.72
  score1=26, score2=21, dur=391.7, team1=omg, team2=jcizu690, winner=omg, mtype=rescue_r2, mhash_short=[LIKE-FACT], mhash_lshort=U-LIKE-FACT, mhash=mhash=250511-2306U-LIKE-FACT,utc=1747019172.89
  score1=27, score2=26, dur=578.9, team1=omg, team2=chthigpen, winner=omg, mtype=rescue_r2, mhash_short=[FINE-AVEN], mhash_lshort=F-FINE-AVEN, mhash=mhash=250511-2306F-FINE-AVEN,utc=1747019208.09
