  score1=32, score2=19, dur=438.2, team1=cschnorr, team2=bertucci, winner=cschnorr, mtype=rescue_r2, mhash_short=[GRIM-RAUL], mhash_lshort=I-GRIM-RAUL, mhash=mhash=250511-2107I-GRIM-RAUL,utc=1747012066.41
  score1=29, score2=20, dur=950.2, team1=bertucci, team2=cschnorr, winner=bertucci, mtype=rescue_r2, mhash_short=[WARM-OMNI], mhash_lshort=I-WARM-OMNI, mhash=mhash=250511-2108I-WARM-OMNI,utc=1747012103.32
    score1=41, score2=0, dur=950.2, team1=ews2011, team2=ews2011, winner=ews2011, mtype=rescue_r2, mhash_short=[OKAY-EGGS], mhash_lshort=X-OKAY-EGGS, mhash=mhash=250511-2110X-OKAY-EGGS,utc=1747012228.63
  score1=47, score2=2, dur=950.1, team1=bruno752, team2=cdembski, winner=bruno752, mtype=rescue_r2, mhash_short=[TAME-MOVE], mhash_lshort=Y-TAME-MOVE, mhash=mhash=250511-2111Y-TAME-MOVE,utc=1747012281.69
  score1=27, score2=24, dur=583.8, team1=cdembski, team2=ews2011, winner=cdembski, mtype=rescue_r2, mhash_short=[PINK-HOME], mhash_lshort=V-PINK-HOME, mhash=mhash=250511-2112V-PINK-HOME,utc=1747012334.75
  score1=31, score2=10, dur=518.4, team1=jwenger, team2=cdembski, winner=jwenger, mtype=rescue_r2, mhash_short=[CALM-REST], mhash_lshort=P-CALM-REST, mhash=mhash=250511-2112P-CALM-REST,utc=1747012373.09
  score1=41, score2=0, dur=563.3, team1=ekwang, team2=ekwang, winner=ekwang, mtype=rescue_r2, mhash_short=[BENS-TENT], mhash_lshort=F-BENS-TENT, mhash=mhash=250511-2113F-BENS-TENT,utc=1747012408.79
  score1=26, score2=22, dur=408.1, team1=cdembski, team2=ews2011, winner=cdembski, mtype=rescue_r2, mhash_short=[PUNY-GROG], mhash_lshort=Y-PUNY-GROG, mhash=mhash=250511-2114Y-PUNY-GROG,utc=1747012446.29
  score1=40, score2=10, dur=950.4, team1=thoma904, team2=bruno752, winner=thoma904, mtype=rescue_r2, mhash_short=[RIPE-ARES], mhash_lshort=S-RIPE-ARES, mhash=mhash=250511-2114S-RIPE-ARES,utc=1747012477.60
  score1=47, score2=4, dur=938, team1=bruno752, team2=cdembski, winner=bruno752, mtype=rescue_r2, mhash_short=[NEAT-FIRE], mhash_lshort=A-NEAT-FIRE, mhash=mhash=250511-2115A-NEAT-FIRE,utc=1747012530.58
  score1=35, score2=7, dur=950.1, team1=jwenger, team2=chthigpen, winner=jwenger, mtype=rescue_r2, mhash_short=[SORE-MUSA], mhash_lshort=B-SORE-MUSA, mhash=mhash=250511-2116B-SORE-MUSA,utc=1747012583.05
  score1=25, score2=25, dur=533, team1=cdembski, team2=chthigpen, winner=cdembski, mtype=rescue_r2, mhash_short=[JIMS-CODE], mhash_lshort=R-JIMS-CODE, mhash=mhash=250511-2117R-JIMS-CODE,utc=1747012636.01
  score1=30, score2=26, dur=554.4, team1=cschnorr, team2=bertucci, winner=cschnorr, mtype=rescue_r2, mhash_short=[PLUS-PLAY], mhash_lshort=V-PLUS-PLAY, mhash=mhash=250511-2117V-PLUS-PLAY,utc=1747012672.29
